date,tag,type,lat,lon,sst_front,isotherm_22C,isotherm_23C,isotherm_24C,chl_007,chl_015,chl_030,chl_060,sla_cold,sla_003,sla_007,sla_011,bathy_100m,bathy_200m,bathy_300m,bathy_400m,bathy_500m,bathy_600m,bathy_700m,bathy_800m,bathy_900m,bathy_1000m,mld_10m,mld_20m,mld_30m,ssta_neg05,ssta_pos05,ssta_pos10
2000-04-23,S113014,tagged,-31.8167,115.2833,5.65,15.64,,16.28,22.53,21.93,13.73,,21.83,12.87,6.79,,0.72,7.11,7.89,8.22,8.54,8.9,9.29,9.74,10.11,10.27,20.6,10.01,2.67,46.21,23.77,34.32
2001-03-03,A359133,tagged,-31.8167,115.2833,4.69,30.9,,,22.57,2.66,17.1,19.93,20.84,14.0,2.32,,0.72,7.11,7.89,8.22,8.54,8.9,9.29,9.74,10.11,10.27,16.87,95.95,,17.73,,
2001-03-05,A238456,tagged,-32.0667,115.2333,1.58,22.57,,,27.11,6.78,14.2,16.84,17.6,9.96,3.75,,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,17.38,,,14.02,,
2001-03-10,A359054,tagged,-31.9333,115.25,1.72,18.16,,,26.33,2.57,12.75,17.49,21.74,11.04,3.4,,3.92,1.51,2.07,2.33,2.58,2.95,3.31,3.69,4.22,4.55,24.29,17.54,13.06,15.11,,
2001-03-28,A359073,tagged,-32.0667,115.2333,0.5,1.38,,,27.15,17.72,8.77,18.01,18.18,13.48,7.77,4.32,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,20.3,5.62,,22.79,,
2001-04-15,S158020,tagged,-32.0667,115.2333,1.87,15.16,,,26.94,2.57,14.45,22.73,8.72,4.37,1.61,12.93,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,21.53,39.39,91.68,9.96,,
2002-02-07,S113088,tagged,-32.0333,115.1667,3.97,17.37,,,30.25,7.14,19.05,23.37,4.26,1.35,5.83,,9.22,2.2,0.53,0.1,0.56,2.3,3.07,3.4,3.58,3.94,26.99,4.01,19.8,25.93,,
2002-03-02,S191541,tagged,-32.0333,115.1667,3.2,23.45,,,30.51,10.09,15.22,20.86,7.89,2.0,13.0,,9.22,2.2,0.53,0.1,0.56,2.3,3.07,3.4,3.58,3.94,25.91,4.24,,25.99,,
2002-03-23,S171254,tagged,-32.0667,115.2333,4.6,3.42,,,26.85,2.21,17.37,29.55,16.2,12.13,6.69,41.95,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,23.55,16.73,5.5,22.41,,
2002-03-23,S92791,tagged,-31.9333,115.25,7.64,1.09,,,25.79,3.78,18.26,34.57,16.27,12.37,7.22,34.07,3.92,1.51,2.07,2.33,2.58,2.95,3.31,3.69,4.22,4.55,24.2,16.33,3.43,21.57,,
2003-03-03,B000731,tagged,-32.0667,115.2333,5.86,4.33,,,27.24,0.74,12.71,17.25,17.44,2.72,20.36,,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,22.67,5.68,64.02,21.17,,
2003-03-15,B001325,tagged,-31.8833,115.1833,2.18,61.7,,78.21,29.29,2.3,14.6,22.03,16.3,11.27,3.3,,6.58,1.06,1.83,2.25,2.57,2.96,3.27,3.42,3.75,3.94,25.8,10.71,,8.75,,
2003-03-26,S158317,tagged,-32.0667,115.2333,3.51,17.51,,,27.26,0.82,9.82,17.66,17.88,6.72,50.97,,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,23.35,16.3,6.87,21.85,,
2004-02-28,S78772,tagged,-31.9333,115.35,5.16,3.8,,,21.33,1.91,4.33,12.35,22.78,11.38,1.17,,0.83,6.01,6.77,6.91,7.13,7.49,7.93,8.51,9.04,9.42,19.16,12.07,0.86,16.73,,
2006-03-10,A417995,tagged,-32.0667,115.2333,5.66,58.44,,39.52,26.92,1.5,14.59,36.55,28.92,25.21,20.04,11.15,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,22.17,3.4,,8.96,42.89,
2007-03-13,A410342,tagged,-32.1,115.1667,1.61,22.57,,,30.62,1.09,12.69,19.36,9.65,3.52,8.18,,8.55,1.15,1.27,2.31,3.0,4.84,6.44,6.94,7.09,7.23,23.45,,,22.73,,
2011-02-09,B014581,tagged,-32.2667,115.1333,0.77,92.34,,1.24,30.33,9.33,20.55,22.75,1.06,5.37,12.29,38.64,6.34,0.46,3.17,4.35,4.91,6.37,8.79,9.6,9.82,9.91,26.4,85.28,,63.08,3.53,47.18
2011-02-26,A417992,tagged,-32.05,115.3167,5.13,,,,22.8,4.13,8.72,14.68,16.26,11.84,5.57,7.58,1.83,5.01,6.16,6.44,6.82,7.21,7.61,8.26,8.7,9.11,12.96,,,,19.03,18.36
2011-03-04,B014335,tagged,-32.0833,115.1833,2.4,,,,29.82,8.06,11.83,14.94,17.03,3.75,18.52,,8.11,0.7,1.32,1.87,2.54,4.73,6.13,6.52,6.69,7.06,23.99,,,,24.79,23.98
2012-01-19,B014567,tagged,-31.9667,115.15,2.45,50.73,,15.81,3.9,11.14,15.94,22.89,8.93,5.01,2.0,7.11,9.28,3.63,3.15,2.82,2.33,1.34,0.88,0.65,0.39,0.1,24.05,90.52,,88.63,2.34,12.85
2012-01-28,B033190,tagged,-32.0,115.0,1.47,,56.65,5.99,38.8,21.36,29.18,33.49,0.47,6.29,12.05,18.02,17.18,10.1,8.92,7.35,3.88,1.76,1.02,0.75,0.48,0.32,33.22,,,,29.01,4.64
2012-01-28,B033189,tagged,-32.0,115.0,1.47,,56.65,5.99,38.8,21.36,29.18,33.49,0.47,6.29,12.05,18.02,17.18,10.1,8.92,7.35,3.88,1.76,1.02,0.75,0.48,0.32,33.22,,,,29.01,4.64
2012-02-12,B066316,tagged,-32.0667,115.05,3.22,,,18.61,36.34,13.19,27.29,34.62,7.8,19.79,28.92,,14.82,7.3,4.89,2.94,1.4,0.55,0.73,1.34,1.46,1.71,31.39,7.36,29.81,3.24,17.89,43.06
2012-12-30,B053935,tagged,-32.1333,115.1,3.25,50.92,,23.42,33.65,14.73,22.45,25.99,2.96,5.45,8.92,15.31,10.97,3.52,1.14,0.87,1.98,3.56,4.34,4.51,5.22,5.72,23.52,,,,3.13,3.92
2013-02-23,B006318,tagged,-31.9667,115.2167,2.06,74.47,,,28.06,7.11,14.41,21.02,8.58,2.9,1.7,14.19,6.03,0.86,0.28,0.16,0.05,0.41,0.86,1.54,2.02,2.44,25.4,8.74,8.26,7.75,,
2015-02-08,B096882,tagged,-31.9167,114.9833,0.53,13.48,,,39.32,13.02,24.3,32.03,9.4,2.04,7.65,,16.84,7.88,5.75,4.52,0.63,2.68,2.98,3.14,3.49,3.73,32.51,,,34.58,,
2015-02-24,B065642,tagged,-31.9667,115.1667,3.71,7.45,,,30.59,3.89,15.09,23.12,9.8,4.98,3.36,,8.46,2.99,2.45,2.17,1.74,0.96,0.51,0.23,0.09,0.1,22.15,,,25.62,,
2015-02-28,B072526,tagged,-31.9167,115.2167,2.77,33.87,,,27.63,3.09,19.65,52.81,15.41,10.57,4.81,,5.4,0.83,1.29,1.59,1.98,2.24,2.67,3.03,3.46,3.78,25.79,15.14,6.32,22.09,,
2015-03-02,B072533,tagged,-31.9667,115.2333,3.74,15.24,,,27.04,6.12,17.14,45.86,19.24,13.62,8.0,,5.24,0.07,0.53,0.67,0.9,1.25,1.69,2.38,2.87,3.29,24.63,18.05,13.58,17.73,,
2015-03-29,B042499,tagged,-32.0,115.2,1.53,16.04,,,28.84,1.3,15.32,20.22,25.45,19.8,8.59,,7.19,1.2,0.11,0.21,0.84,1.33,1.61,1.95,2.32,2.65,24.55,5.77,0.27,17.74,,
2015-04-03,B014328,tagged,-32.1,115.1667,5.0,18.72,,,30.62,24.45,16.21,21.92,23.63,12.14,9.72,,8.55,1.15,1.27,2.31,3.0,4.84,6.44,6.94,7.09,7.23,25.64,12.22,5.6,10.1,,
2016-01-16,B101755,tagged,-31.8833,115.0833,8.28,20.5,41.09,,33.82,16.07,24.11,29.0,3.99,3.73,13.03,32.4,11.39,2.95,0.78,0.05,0.64,0.99,1.48,2.0,2.33,2.51,25.26,,,21.6,,
2016-02-20,B096884,tagged,-31.9333,115.0667,2.54,2.24,,,35.7,13.79,18.17,27.06,3.21,4.75,,,13.1,4.99,3.76,3.15,1.87,1.16,0.75,0.51,0.2,0.07,30.27,6.75,,30.91,,
2016-03-07,B097301,tagged,-32.1,115.2,2.92,15.91,,,28.93,0.7,11.76,19.79,5.0,3.28,,,6.95,0.43,2.64,3.18,3.85,6.02,7.28,7.73,7.88,8.23,23.6,14.35,,22.71,,
2017-02-04,B099679,tagged,-31.8833,115.0667,2.77,4.33,,,34.65,5.49,19.86,29.76,20.13,12.8,2.01,,12.22,3.78,1.34,0.54,0.16,0.82,1.18,1.83,2.28,2.46,31.32,4.7,58.19,30.48,,
2017-02-13,B074411,tagged,-31.9667,115.1333,5.09,19.08,,,31.88,7.37,23.29,27.93,14.79,3.69,13.86,20.1,10.11,4.31,3.67,3.21,2.73,1.48,1.09,0.37,0.01,0.23,21.27,,,28.06,,
2017-02-19,B072418,tagged,-31.7333,114.95,3.99,14.08,,,35.56,13.88,26.43,28.39,15.2,7.2,7.09,39.1,14.05,4.31,3.78,2.8,1.15,0.81,2.47,3.93,5.88,8.0,28.03,,,32.17,,
2017-03-06,B097342,tagged,-32.0667,115.1667,4.85,37.85,,64.99,30.71,5.96,12.68,19.8,17.95,11.88,3.3,,9.25,1.9,0.02,0.58,1.24,3.46,4.93,5.37,5.56,5.91,24.37,61.21,,10.01,,
2021-02-14,A618116,tagged,-31.8833,115.1833,7.3,37.2,,,28.97,12.4,19.39,29.02,14.12,7.84,12.14,40.05,6.58,1.06,1.83,2.25,2.57,2.96,3.27,3.42,3.75,3.94,22.08,68.02,86.53,24.12,,
2021-02-14,B119403,tagged,-31.8833,115.1833,7.3,37.2,,,28.97,12.4,19.39,29.02,14.12,7.84,12.14,40.05,6.58,1.06,1.83,2.25,2.57,2.96,3.27,3.42,3.75,3.94,22.08,68.02,86.53,24.12,,
2021-02-14,B096892,tagged,-31.8833,115.1667,7.72,37.2,,,29.78,11.65,20.2,29.77,13.3,7.06,12.79,40.22,7.35,0.85,1.55,1.83,2.14,2.54,2.7,2.89,3.23,3.55,22.87,67.33,85.86,24.96,,
2021-04-06,B152636,tagged,-31.7167,114.95,3.45,44.02,,3.63,35.21,14.39,2.25,24.29,2.1,2.88,5.47,8.63,13.59,4.21,3.44,2.76,1.31,0.79,2.6,3.75,5.97,8.03,31.58,14.76,,27.08,7.2,23.59
2022-02-19,A634421,tagged,-32.0667,115.2333,0.44,102.83,,0.59,27.15,3.46,15.15,19.43,10.43,6.99,3.57,1.27,6.09,1.22,3.14,3.55,4.14,5.62,5.96,6.29,6.64,6.95,22.03,8.68,,78.75,7.05,47.8
2022-12-29,B128729,tagged,-32.0833,115.1833,2.9,23.58,,,29.77,27.08,16.74,22.17,18.49,14.81,4.19,,8.11,0.7,1.32,1.87,2.54,4.73,6.13,6.52,6.69,7.06,25.9,18.44,15.64,50.51,27.14,66.66
2023-03-06,B097312,tagged,-31.9333,115.35,2.45,42.04,,115.18,21.06,8.54,4.02,12.31,14.97,4.33,67.39,78.08,0.83,6.01,6.77,6.91,7.13,7.49,7.93,8.51,9.04,9.42,19.29,12.59,7.58,12.1,,
2025-03-03,,Release,-31.992617,115.212883,2.45,,,1.25,27.97,3.37,18.75,35.67,76.25,67.32,59.86,51.33,6.49,0.64,0.06,0.55,0.86,1.19,1.48,1.97,2.4,2.8,24.92,8.97,3.44,51.92,16.12,
2025-03-04,,Dropped,-31.99043,115.19013,1.87,,25.08,1.37,29.31,5.92,16.4,23.46,72.94,64.8,57.98,49.96,7.64,1.8,0.81,0.41,0.11,0.66,0.91,1.23,1.57,1.89,26.4,20.05,15.03,23.07,20.39,
2026-03-18,,Dropped,-31.970165,115.211433,2.69,12.05,,,28.12,7.23,17.02,25.31,62.09,26.0,7.19,12.02,6.35,1.12,0.6,0.42,0.16,0.12,0.57,1.31,1.77,2.2,24.97,18.13,,23.84,,
2026-03-18,,Sighted,-32.06127,115.14585,0.84,17.15,,,31.38,2.34,19.42,29.86,62.53,32.29,10.67,8.51,10.35,2.98,0.71,0.18,0.49,2.41,4.09,4.54,4.76,4.92,27.38,19.14,,25.54,,
